Player Name,Player Image,Jersey Number,Position,Height,Weight,Nationality,Flag Image,Starter,Appearances,Minutes Played,Goals ,Assists,Clean Sheets,Saves
Keylor Navas,"https://images.psg.media/media/33317/card_21-22_navas.png?center=0.5,0.5&mode=crop&width=400&height=600",1,Goalkeeper,185,80,Costa Rican,https://cdn-icons-png.flaticon.com/512/197/197506.png,Yes,26,2308,N/A,N/A,10,76
Achraf Hakimi,"https://images.psg.media/media/207376/card_21-22_hakimi.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",2,Defender,181,73,Morocco,https://cdn-icons-png.flaticon.com/512/197/197551.png,Yes,41,3293,4,6,N/A,N/A
Presnel Kimpembe,"https://images.psg.media/media/27044/card_21-22_kimpembe.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",3,Defender,183,77,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,Yes,41,3545,2,1,N/A,N/A
Sergio Ramos,"https://images.psg.media/media/207480/card_21-22_ramos.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",4,Defender,184,82,Spanish,https://cdn-icons-png.flaticon.com/512/197/197593.png,Yes,13,844,2,0,N/A,N/A
Marquinhos,"https://images.psg.media/media/27046/card_21-22_marquinhos.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",5,Defender,183,75,Brazilian,https://cdn-icons-png.flaticon.com/512/197/197386.png,Yes,40,3582,5,1,N/A,N/A
Marco Verratti,"https://images.psg.media/media/27047/card_21-22_verratti.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",6,Midfielder,165,60,Italian,https://cdn-icons-png.flaticon.com/512/197/197626.png,,32,2621,2,2,N/A,N/A
Kylian Mbappé,"https://images.psg.media/media/27048/card_21-22_mbappe.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",7,Forward,178,73,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,Yes,46,3908,34,21,N/A,N/A
Leandro Paredes,"https://images.psg.media/media/27049/card_21-22_paredes.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",8,Midfielder,180,75,Argentinian,https://cdn-icons-png.flaticon.com/512/197/197573.png,No,22,1245,1,2,N/A,N/A
Mauro Icardi,"https://images.psg.media/media/33319/card_21-22_icardi.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",9,Forward,181,75,Argentinian,https://cdn-icons-png.flaticon.com/512/197/197573.png,No,30,1310,5,0,N/A,N/A
Neymar Jr ,"https://images.psg.media/media/27051/card_21-22_neymar.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",10,Forward,175,68,Brazilian,https://cdn-icons-png.flaticon.com/512/197/197386.png,Yes,28,2328,13,8,N/A,N/A
Angel Di María ,"https://images.psg.media/media/27052/card_21-22_di-maria.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",11,Midfielder,180,75,Argentinian,https://cdn-icons-png.flaticon.com/512/197/197573.png,No,31,1915,5,8,N/A,N/A
Juan Bernat,"https://images.psg.media/media/27054/card_21-22_bernat.png?crop=0.19333333333333333,0.0,0.14026666666666668,0.0&cropmode=percentage&width=400&height=600&quality=75",14,Defender,177,67,Spanish,https://cdn-icons-png.flaticon.com/512/197/197593.png,No,16,975,0,0,N/A,N/A
Danilo Pereira,"https://images.psg.media/media/187878/card_21-22_danilo.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",15,Midfielder,188,83,Guinea-Bissau,https://cdn-icons-png.flaticon.com/512/197/197483.png,Yes,37,2623,5,0,N/A,N/A
Colin Dagba,"https://images.psg.media/media/27059/card_21-22_dagba.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",17,Defender,170,62,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,6,381,0,1,N/A,N/A
Georginio Wijnaldum,"https://images.psg.media/media/207155/card_21-22_wijnaldum.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",18,Midfielder,175,74,Dutch,https://cdn-icons-png.flaticon.com/512/197/197441.png,No,38,1992,3,3,N/A,N/A
Layvin Kurzawa,"https://images.psg.media/media/27056/card_21-22_kurzawa.png?crop=0.22,0.0,0.1136,0.0&cropmode=percentage&width=400&height=600&quality=75",20,Defender,182,74,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,1,9,0,0,N/A,N/A
Ander Herrera,"https://images.psg.media/media/27249/card_21-22_herrera.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",21,Midfielder,182,71,Spanish,https://cdn-icons-png.flaticon.com/512/197/197593.png,No,28,1634,4,2,N/A,N/A
Abdou Diallo,"https://images.psg.media/media/27790/card_21-22_diallo.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",22,Defender,187,79,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,16,1222,0,1,N/A,N/A
Julian Draxler,"https://images.psg.media/media/27057/card_21-22_draxler.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",23,Midfielder,185,72,German,https://cdn-icons-png.flaticon.com/512/197/197571.png,No,24,862,2,2,N/A,N/A
Thilo Kehrer,"https://images.psg.media/media/27045/card_21-22_kehrer.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",24,Defender,186,76,German,https://cdn-icons-png.flaticon.com/512/197/197571.png,No,34,1905,2,0,N/A,N/A
Nuno Mendes,"https://images.psg.media/media/210082/card_21-22_mendes.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",25,Defender,176,70,Portuguese,https://cdn-icons-png.flaticon.com/512/197/197463.png,No,37,2405,0,2,N/A,N/A
Idrissa Gueye,"https://images.psg.media/media/28811/card_21-22_gueye.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",27,Midfielder,174,66,Senegal,https://cdn-icons-png.flaticon.com/512/197/197377.png,No,33,2043,4,1,N/A,N/A
Eric-Junior Dina-Ebimbe,"https://images.psg.media/media/210215/card_21-22_dina-ebimbe.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",28,Midfielder,183,81,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,14,485,0,1,N/A,N/A
Lionel Messi,"https://images.psg.media/media/209026/card_21-22_messi.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",30,Forward,169,67,Argentinian,https://cdn-icons-png.flaticon.com/512/197/197573.png,Yes,34,2872,11,14,N/A,N/A
El Chadaille Bitshiabu,"https://images.psg.media/media/207192/card_21-22_bitshiabu.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",31,Defender,196,Unknown,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,3,42,0,0,N/A,N/A
Xavi Simons,"https://images.psg.media/media/207197/card_21-22_simons.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",34,Midfielder,168,58,Dutch,https://cdn-icons-png.flaticon.com/512/197/197441.png,No,9,318,0,1,N/A,N/A
